,NAV
2011-12-23,0.6279761427923315
2011-12-26,0.6281618047945475
2011-12-27,0.6292648272610859
2011-12-28,0.6229332163570361
2011-12-29,0.631904352791635
2011-12-30,0.6358525301296988
2012-01-04,0.6343571991913173
2012-01-05,0.6324439526840493
2012-01-06,0.6371350456399792
2012-01-09,0.6399383119224501
2012-01-10,0.6364659857004272
2012-01-11,0.6368283611815466
2012-01-12,0.6318424752636592
2012-01-13,0.6314093283976716
2012-01-16,0.6362403864631753
2012-01-17,0.6367795540774137
2012-01-18,0.6389372033190024
2012-01-19,0.6388787588619417
2012-01-20,0.6399946796560851
2012-01-30,0.6384896288361676
2012-01-31,0.6404305416292829
2012-02-01,0.6407142067294097
2012-02-02,0.6413432732504064
2012-02-03,0.6801700528956102
2012-02-06,0.679605627321492
2012-02-07,0.6771748299436519
2012-02-08,0.6804074557892599
2012-02-09,0.6692698086337373
2012-02-10,0.6682692410254011
2012-02-13,0.6696932148266087
2012-02-14,0.6632039786997419
2012-02-15,0.6657308199068914
2012-02-16,0.6747588247765413
2012-02-17,0.6799678490020551
2012-02-20,0.6642237926352224
2012-02-21,0.6742058141582111
2012-02-22,0.6823722235495847
2012-02-23,0.6793162888845979
2012-02-24,0.6758382201082214
2012-02-27,0.6752955635804917
2012-02-28,0.6680160092591297
2012-02-29,0.6641025793790959
2012-03-01,0.6656244013517398
2012-03-02,0.6660511989582815
2012-03-05,0.6604249728934304
2012-03-06,0.662398535949644
2012-03-07,0.6718416863935618
2012-03-08,0.6733534459046167
2012-03-09,0.674011992461347
2012-03-12,0.6730892985073774
2012-03-13,0.6692448011358474
2012-03-14,0.668594497900145
2012-03-15,0.6601149577376019
2012-03-16,0.6597480542673008
2012-03-19,0.6626910387272887
2012-03-20,0.6595139949022198
2012-03-21,0.6565576738763866
2012-03-22,0.6534734969606296
2012-03-23,0.6570647083765709
2012-03-26,0.6546827319398193
2012-03-27,0.6529859402654149
2012-03-28,0.6486173699732821
2012-03-29,0.6412374184631335
2012-03-30,0.6430635741629617
2012-04-05,0.6440622016613623
2012-04-06,0.6442114660525461
2012-04-09,0.6513542563600556
2012-04-10,0.6507742244938876
2012-04-11,0.6370313575114845
2012-04-12,0.6436694249654006
2012-04-13,0.6377671953224484
2012-04-16,0.6335888075242718
2012-04-17,0.6322464550986989
2012-04-18,0.638323417984564
2012-04-19,0.6433570213190052
2012-04-20,0.6444366114781463
2012-04-23,0.646510383498198
2012-04-24,0.6436380431607137
2012-04-25,0.6473147872109
2012-04-26,0.6480109711361534
2012-04-27,0.643653321746518
2012-05-02,0.645426659710895
2012-05-03,0.6509470133371292
2012-05-04,0.6572267641832389
2012-05-07,0.6606079139275175
2012-05-08,0.6635042461209447
2012-05-09,0.661284531251029
2012-05-10,0.6568220649910143
2012-05-11,0.6612212746787911
2012-05-14,0.6624160877573266
2012-05-15,0.6674992705882262
2012-05-16,0.6702921704777373
2012-05-17,0.6703231894291856
2012-05-18,0.6667258652094535
2012-05-21,0.6664532268379417
2012-05-22,0.6552877505396262
2012-05-23,0.6553384355229509
2012-05-24,0.6496929538943308
